FrameNumber,Y_30_leftDist,Y_33_leftDist,Y_36_leftDist,Y_39_leftDist,Y_42_leftDist,Y_45_leftDist,Y_48_leftDist,Y_51_leftDist,Y_54_leftDist,Y_57_leftDist,Y_60_leftDist,Y_63_leftDist,Y_66_leftDist,Y_69_leftDist,Y_72_leftDist,Y_75_leftDist,Y_78_leftDist,Y_81_leftDist,Y_84_leftDist,Y_87_leftDist,Y_90_leftDist,Y_93_leftDist,Y_96_leftDist,Y_99_leftDist,Y_102_leftDist,Y_105_leftDist,Y_108_leftDist,Y_111_leftDist,Y_114_leftDist,Y_117_leftDist,Y_120_leftDist,Y_123_leftDist,Y_126_leftDist,Y_129_leftDist,Y_132_leftDist,Y_135_leftDist,Y_30_rightDist,Y_33_rightDist,Y_36_rightDist,Y_39_rightDist,Y_42_rightDist,Y_45_rightDist,Y_48_rightDist,Y_51_rightDist,Y_54_rightDist,Y_57_rightDist,Y_60_rightDist,Y_63_rightDist,Y_66_rightDist,Y_69_rightDist,Y_72_rightDist,Y_75_rightDist,Y_78_rightDist,Y_81_rightDist,Y_84_rightDist,Y_87_rightDist,Y_90_rightDist,Y_93_rightDist,Y_96_rightDist,Y_99_rightDist,Y_102_rightDist,Y_105_rightDist,Y_108_rightDist,Y_111_rightDist,Y_114_rightDist,Y_117_rightDist,Y_120_rightDist,Y_123_rightDist,Y_126_rightDist,Y_129_rightDist,Y_132_rightDist,Y_135_rightDist
1,27,27,26,27,25,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8
2,27,27,27,27,25,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,8,8,8
3,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,8,8,8
4,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8
5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8
6,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8
7,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8
8,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,29,29,29,29,29,29,29,28,28,28,28,28,27,27,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8
9,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,29,29,29,29,29,29,29,29,28,28,28,28,27,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8
10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,29,29,29,29,29,29,29,29,28,28,28,28,27,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,9,9,9,8
